Reading,Mote ID,Humidity,Temperature,Label,Is_Singlehop,Has_Fault,Temp_Mean,Temp_Std,Temp_Range,Temp_Change,Hum_Mean,Hum_Std,Hum_Range,Hum_Change,Temp_Hum_Ratio,Temp_Hum_Product,Total_Variability,Combined_Change,Fault_Type,Severity_Level,Fault_Type_Name,Severity_Name,Hierarchical_Label,Data_Source
198.0,3.0,39.76,25.47,0.0,1.0,1.0,25.47,0.07941670897235684,0.2149200000000004,0.0,39.968154,0.2165902689411504,0.6208799999999995,0.0,0.6405935613682092,1012.6871999999998,0.44834845010517876,0.05770999999999842,0,0,Normal,None,Normal_None,Original
3865.0,1.0,70.26,26.73,0.0,0.0,1.0,26.1,0.6300000000000008,1.2600000000000016,1.2600000000000016,55.010000000000005,15.250000000000004,30.500000000000007,30.500000000000007,0.38044406490179333,1878.0498000000002,15.880000000000004,31.76000000000001,0,0,Normal,None,Normal_None,Original
4185.0,4.0,45.52,26.92,0.0,1.0,0.0,26.373333333333335,0.6434455860616526,1.4500000000000028,0.19000000000000128,51.84666666666667,13.23083603640459,30.500000000000007,-24.740000000000002,0.5913884007029877,1225.3984000000003,13.874281622466242,24.930000000000003,0,0,Normal,None,Normal_None,Original
4177.0,3.0,45.55,24.97,0.0,1.0,0.0,26.0225,0.824480897292352,1.9500000000000028,-1.9500000000000028,50.27250000000001,11.778169159508623,30.500000000000007,0.02999999999999403,0.5481888035126234,1137.3835,12.602650056800975,1.9799999999999969,0,0,Normal,None,Normal_None,Original
3051.0,2.0,60.55,28.93,0.0,1.0,0.0,26.604000000000003,1.3770925894797348,3.960000000000001,3.960000000000001,52.32800000000001,11.30842765374568,30.500000000000007,15.0,0.4777869529314616,1751.7115,12.685520243225415,18.96,0,0,Normal,None,Normal_None,Original
892.0,1.0,45.51,29.36,0.0,1.0,0.0,27.382000000000005,1.597816009432876,4.390000000000001,0.4299999999999997,53.477999999999994,10.210981147764402,24.750000000000007,-15.04,0.6451329378158647,1336.1735999999999,11.808797157197278,15.469999999999999,0,0,Normal,None,Normal_None,Original
3724.0,4.0,30.29,24.13,0.0,0.0,1.0,26.862000000000002,2.0767031564477385,5.23,-5.23,45.483999999999995,9.569203937632428,30.259999999999998,-15.219999999999999,0.7966325519973588,730.8977,11.645907094080167,20.45,0,0,Normal,None,Normal_None,Original
435.0,4.0,44.36,30.0,0.0,0.0,0.0,27.477999999999998,2.4293982794099453,5.870000000000001,5.870000000000001,45.251999999999995,9.579574938378007,30.259999999999998,14.07,0.6762849413886384,1330.8,12.008973217787952,19.94,0,0,Normal,None,Normal_None,Original
2951.0,1.0,68.78,28.59,0.0,0.0,0.0,28.201999999999998,2.0897597948089635,5.870000000000001,-1.4100000000000001,49.897999999999996,13.449109115476757,38.49,24.42,0.4156731608025589,1966.4202,15.538868910285721,25.830000000000002,0,0,Normal,None,Normal_None,Original
3692.0,4.0,47.52,27.01,0.0,1.0,1.0,27.818,2.09709704114998,5.870000000000001,-1.5799999999999983,47.292,12.350111578443329,38.49,-21.259999999999998,0.5683922558922558,1283.5152,14.447208619593308,22.839999999999996,0,0,Normal,None,Normal_None,Original
1.0,3.0,47.26,27.74,0.0,0.0,0.0,27.494,1.954099280998793,5.870000000000001,0.7299999999999969,47.642,12.319409726119186,38.49,-0.2600000000000051,0.5869657215404147,1310.9923999999999,14.27350900711798,0.990000000000002,0,0,Normal,None,Normal_None,Original
4970.0,3.0,45.38,28.42,0.0,1.0,1.0,28.351999999999997,0.9952567507934822,2.9899999999999984,0.6800000000000033,50.66,9.135889666584202,24.42,-1.8799999999999955,0.626267078007933,1289.6996000000001,10.131146417377684,2.5599999999999987,0,0,Normal,None,Normal_None,Original
2403.0,2.0,70.63,28.79,0.0,1.0,1.0,28.110000000000003,0.6535747853153452,1.7799999999999976,0.36999999999999744,55.914,11.299652384033767,25.249999999999993,25.249999999999993,0.40761715984709046,2033.4376999999997,11.953227169349113,25.61999999999999,0,0,Normal,None,Normal_None,Original
259.0,4.0,40.24,32.4,0.0,1.0,0.0,28.872000000000003,1.8658124235838922,5.389999999999997,3.6099999999999994,50.206,10.541771388149145,30.389999999999993,-30.389999999999993,0.805168986083499,1303.776,12.407583811733037,33.99999999999999,0,0,Normal,None,Normal_None,Original
976.0,4.0,44.13,26.81,0.0,1.0,0.0,28.832,1.9069913476468632,5.59,-5.59,49.528,10.798606206358297,30.389999999999993,3.8900000000000006,0.607523226829821,1183.1253,12.70559755400516,9.48,0,0,Normal,None,Normal_None,Original
3424.0,1.0,44.41,26.8,0.0,0.0,0.0,28.644,2.0466030391846872,5.599999999999998,-0.00999999999999801,48.958,10.977022182723324,30.389999999999993,0.27999999999999403,0.6034676874577798,1190.1879999999999,13.023625221908011,0.28999999999999204,0,0,Normal,None,Normal_None,Original
2853.0,1.0,46.61,27.43,1.0,0.0,0.0,28.445999999999998,2.1057312269138238,5.599999999999998,0.629999999999999,49.20399999999999,10.907644291963319,30.389999999999993,2.200000000000003,0.5885003218193521,1278.5122999999999,13.013375518877142,2.830000000000002,0,0,Normal,None,Normal_None,Original
1966.0,4.0,47.67,28.08,0.0,0.0,1.0,28.303999999999995,2.101681231776122,5.599999999999998,0.6499999999999986,44.612,2.5585495891227117,7.43,1.0600000000000023,0.5890497168030208,1338.5736,4.660230820898834,1.7100000000000009,0,0,Normal,None,Normal_None,Original
